game_id,tournament_en,team1,team2,score1,score2,team1_win,bestOf,games_played,datetime
147435,DreamLeague Season 29. Closed Qualifiers,Cloud Dawning,Team Resilience,0,2,0,3,2,2026-04-12 15:00:00
147433,DreamLeague Season 29. Closed Qualifiers,OG,Ivory,0,2,0,3,2,2026-04-12 15:00:00
147426,DreamLeague Season 29. Closed Qualifiers,Natus Vincere,Nigma Galaxy,2,0,1,3,2,2026-04-12 13:00:00
147411,DreamLeague Season 29. Closed Qualifiers,Natus Vincere,Nigma Galaxy,2,0,1,3,2,2026-04-12 13:00:00
147425,DreamLeague Season 29. Closed Qualifiers,Team Liquid,ALIS VENTORUS,2,0,1,3,2,2026-04-12 13:00:00
147412,DreamLeague Season 29. Closed Qualifiers,Team Liquid,ALIS VENTORUS,2,0,1,3,2,2026-04-12 13:00:00
147423,DreamLeague Season 29. Closed Qualifiers,BetBoom Team,Breeki Cheeki,1,2,0,3,3,2026-04-12 12:00:00
147403,DreamLeague Season 29. Closed Qualifiers,L1ga Team,Rune Eaters,2,1,1,3,3,2026-04-12 12:00:00
147427,DreamLeague Season 29. Closed Qualifiers,L1ga Team,Rune Eaters,2,1,1,3,3,2026-04-12 12:00:00
147404,DreamLeague Season 29. Closed Qualifiers,BetBoom Team,Breeki Cheeki,1,2,0,3,3,2026-04-12 12:00:00
147431,DreamLeague Season 29. Closed Qualifiers,BetBoom Team,Breeki Cheeki,1,2,0,3,3,2026-04-12 12:00:00
147418,DreamLeague Season 29. Closed Qualifiers,L1ga Team,Rune Eaters,2,1,1,3,3,2026-04-12 12:00:00
147409,DreamLeague Season 29. Closed Qualifiers,REKONIX,Team Nemesis,0,2,0,3,2,2026-04-12 11:00:00
147397,DreamLeague Season 29. Closed Qualifiers,REKONIX,Team Nemesis,0,2,0,3,2,2026-04-12 11:00:00
147410,DreamLeague Season 29. Closed Qualifiers,Execration,Carstensz Esports,1,2,0,3,3,2026-04-12 11:00:00
147396,DreamLeague Season 29. Closed Qualifiers,Execration,Carstensz Esports,1,2,0,3,3,2026-04-12 11:00:00
147401,DreamLeague Season 29. Closed Qualifiers,the goal of all life is death,Vici Gaming,0,1,0,3,1,2026-04-12 11:00:00
147398,DreamLeague Season 29. Closed Qualifiers,Roar Gaming,Mideng Dreamer,0,2,0,3,2,2026-04-12 11:00:00
147405,DreamLeague Season 29. Closed Qualifiers,Roar Gaming,Mideng Dreamer,0,2,0,3,2,2026-04-12 11:00:00
147402,DreamLeague Season 29. Closed Qualifiers,Execration,Carstensz Esports,1,2,0,3,3,2026-04-12 11:00:00
147378,DreamLeague Season 29. Closed Qualifiers,OG,GLYPH,2,0,1,3,2,2026-04-12 07:00:00
147375,DreamLeague Season 29. Closed Qualifiers,OG,GLYPH,2,0,1,3,2,2026-04-12 07:00:00
147371,DreamLeague Season 29. Closed Qualifiers,Yakult Brothers,Cloud Dawning,0,2,0,3,2,2026-04-12 07:00:00
147376,DreamLeague Season 29. Closed Qualifiers,Yakult Brothers,Cloud Dawning,0,2,0,3,2,2026-04-12 07:00:00
147387,DreamLeague Season 29. Closed Qualifiers,Ivory,Yangon Galacticos,2,0,1,3,2,2026-04-12 07:00:00
147386,DreamLeague Season 29. Closed Qualifiers,Ivory,Yangon Galacticos,2,0,1,3,2,2026-04-12 07:00:00
147377,DreamLeague Season 29. Closed Qualifiers,Team Resilience,Cloud Rising,2,0,1,3,2,2026-04-12 07:00:00
147373,DreamLeague Season 29. Closed Qualifiers,Team Resilience,Cloud Rising,2,0,1,3,2,2026-04-12 07:00:00
147395,DreamLeague Season 29. Open Qualifiers,Gior Dota Team,THE BROS,2,0,1,3,2,2026-04-12 00:00:00
147392,DreamLeague Season 29. Open Qualifiers,Earth Gaming,chandogs,0,2,0,3,2,2026-04-12 00:00:00
147394,DreamLeague Season 29. Open Qualifiers,Gior Dota Team,THE BROS,2,0,1,3,2,2026-04-12 00:00:00
147393,DreamLeague Season 29. Open Qualifiers,Earth Gaming,chandogs,0,2,0,3,2,2026-04-12 00:00:00
147390,DreamLeague Season 29. Open Qualifiers,Not,the bug,2,0,1,3,2,2026-04-11 23:00:00
147391,DreamLeague Season 29. Open Qualifiers,Not,the bug,2,0,1,3,2,2026-04-11 23:00:00
147324,DreamLeague Season 29. Open Qualifiers,ALIS VENTORUS,Team Levantic,2,0,1,3,2,2026-04-11 17:00:00
147325,DreamLeague Season 29. Open Qualifiers,ALIS VENTORUS,Team Levantic,2,0,1,3,2,2026-04-11 17:00:00
147297,PREMIER SERIES,PARIVISION,Nigma Galaxy,3,0,1,5,3,2026-04-11 16:00:00
147323,DreamLeague Season 29. Open Qualifiers,Breeki Cheeki,Enjoy Boys,2,0,1,3,2,2026-04-11 16:00:00
147296,DreamLeague Season 29. Open Qualifiers,Breeki Cheeki,Enjoy Boys,2,0,1,3,2,2026-04-11 16:00:00
147326,PREMIER SERIES,PARIVISION,Nigma Galaxy,3,0,1,5,3,2026-04-11 16:00:00
147317,PREMIER SERIES,PARIVISION,Nigma Galaxy,3,0,1,5,3,2026-04-11 16:00:00
147278,PREMIER SERIES,MOUZ,Nigma Galaxy,0,2,0,3,2,2026-04-11 13:00:00
147286,PREMIER SERIES,MOUZ,Nigma Galaxy,0,2,0,3,2,2026-04-11 13:00:00
147277,DreamLeague Season 29. Open Qualifiers,GLYPH,PlayTime,2,1,1,3,3,2026-04-11 11:00:00
147276,DreamLeague Season 29. Open Qualifiers,GLYPH,PlayTime,2,1,1,3,3,2026-04-11 11:00:00
147287,DreamLeague Season 29. Open Qualifiers,GLYPH,PlayTime,2,1,1,3,3,2026-04-11 11:00:00
147389,DreamLeague Season 29. Open Qualifiers,the bug,GG Boom,1,0,1,1,1,2026-04-10 23:50:00
147388,DreamLeague Season 29. Open Qualifiers,Not,Ttgame,1,0,1,1,1,2026-04-10 23:10:00
147268,PREMIER SERIES,GamerLegion,Nigma Galaxy,1,2,0,3,3,2026-04-10 21:30:00
147247,PREMIER SERIES,GamerLegion,Nigma Galaxy,1,2,0,3,3,2026-04-10 21:30:00
147262,PREMIER SERIES,GamerLegion,Nigma Galaxy,1,2,0,3,3,2026-04-10 21:30:00
